"","V1","V2","V3","V4","V5","V6"
"1",9.11929898586468,9.02795116554775,8.54807618357644,7.41677100513101,5.50163881387398,0
"2",0,9.50483986645085,9.79911875354703,9.95527127295782,9.57139153170023,11.1814131177845
"3",0,0,7.14791575677474,6.20191645388275,4.60047967767644,0
"4",0,0,12.1686646597218,13.7128629659885,15.6318518804798,19.4526915431304
"5",0,0,0,6.20191645388275,4.60047967767644,0
"6",0,0,0,8.32461466963314,8.00361378097544,9.34991655329168
"7",0,0,0,7.14841820819012,6.68084299925665,6.37451747061426
"8",0,0,0,17.5820627140954,21.1880893453456,25.394563475065
"9",0,0,0,0,4.60047967767644,0
"10",0,0,0,0,8.00361378097544,9.34991655329168
"11",0,0,0,0,3.84692888441561,0
"12",0,0,0,0,13.0713809709288,16.2663735566574
"13",0,0,0,0,3.84692888441561,0
"14",0,0,0,0,10.68090442603,13.5780024965227
"15",0,0,0,0,10.68090442603,13.5780024965227
"16",0,0,0,0,25.051229457037,29.4825971222706
"17",0,0,0,0,0,0
"18",0,0,0,0,0,9.34991655329168
"19",0,0,0,0,0,0
"20",0,0,0,0,0,16.2663735566574
"21",0,0,0,0,0,0
"22",0,0,0,0,0,7.81841602958671
"23",0,0,0,0,0,5.33038228620184
"24",0,0,0,0,0,21.2349769119497
"25",0,0,0,0,0,0
"26",0,0,0,0,0,7.81841602958671
"27",0,0,0,0,0,2.9013504971397
"28",0,0,0,0,0,18.8059451228876
"29",0,0,0,0,0,2.9013504971397
"30",0,0,0,0,0,18.8059451228876
"31",0,0,0,0,0,18.8059451228876
"32",0,0,0,0,0,32.1053940385305
